                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.96941,                 1.0118,                 1.5235,                0.32399,                0.57245,                0.49186,                0.36911,                0.91474,                0.93217,                 1.5451,             0.00026422,             0.00026422,             0.00026422
                     87,                0.98823,                 1.0529,                 1.5463,                0.93051,                0.43061,                0.48762,                0.36762,                0.89245,                 0.9231,                 1.5341,             0.00024772,             0.00024772,             0.00024772
                     88,                0.98406,                 1.0497,                  1.544,                0.91692,                0.43061,                0.48281,                0.36642,                0.89127,                0.92373,                 1.5292,             0.00023121,             0.00023121,             0.00023121
                     89,                0.95424,                 1.0212,                 1.5251,                0.36456,                0.71327,                0.49089,                0.36145,                0.96398,                0.89884,                 1.6068,             0.00021471,             0.00021471,             0.00021471
                     90,                0.95684,                 1.0247,                 1.5248,                0.38564,                0.56837,                0.50188,                0.38035,                0.86806,                0.86192,                 1.5164,             0.00019821,             0.00019821,             0.00019821
                     91,                0.82116,                 0.8833,                 1.4496,                0.43537,                0.54796,                0.49611,                0.37425,                0.95021,                0.90096,                 1.6119,              0.0001817,              0.0001817,              0.0001817
                     92,                0.80773,                0.79805,                 1.4509,                0.93223,                0.41633,                0.49169,                0.37468,                0.84599,                0.91448,                 1.4974,              0.0001652,              0.0001652,              0.0001652
                     93,                0.78122,                0.78585,                  1.426,                0.92525,                0.41429,                0.49873,                0.37684,                0.91111,                0.86061,                 1.5686,              0.0001487,              0.0001487,              0.0001487
                     94,                0.77954,                0.77174,                 1.4125,                0.93776,                0.42653,                0.51454,                0.39703,                0.83786,                0.85499,                 1.4974,             0.00013219,             0.00013219,             0.00013219
                     95,                0.76388,                0.74403,                 1.3975,                0.92865,                0.42911,                0.49504,                0.38299,                 0.8398,                  0.828,                 1.4901,             0.00011569,             0.00011569,             0.00011569
                     96,                0.76133,                 0.7498,                  1.392,                0.36175,                0.56837,                0.51987,                0.40336,                0.84028,                0.83537,                 1.4903,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.7488,                0.72291,                 1.3879,                0.93722,                0.42636,                0.52087,                0.40085,                0.81467,                0.83224,                 1.4666,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.7275,                0.72885,                 1.3687,                0.94244,                0.42358,                0.52136,                0.40359,                0.82221,                0.82993,                 1.4738,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.73431,                0.71512,                 1.3639,                 0.9362,                0.43469,                0.52165,                0.40836,                0.81793,                 0.8236,                 1.4688,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.73172,                0.74195,                 1.3786,                0.94032,                0.42245,                0.52068,                0.40826,                0.81355,                  0.811,                 1.4656,             3.3173e-05,             3.3173e-05,             3.3173e-05
